"id","text","score","imdbid"
"0","Because so little of what occurs on-screen either engages or entertains, there's ample time for the boiler of your self-respect to build up quite a head of indignation at the forfeiture of your time, money, and (exceedingly minimal) cerebral exertion.","4","242998"
"1","Insufferably boring, culturally hegemonic, and profoundly ugly.","5","1335975"
"2","The Roommate has notched an unbelievable achievement; it makes the second rate ""One Tree Hill"" seems like it was about something.","5","1265990"
"3","The only thing about this movie that will haunt you is its boggling ineptitude.","6","160484"
"4","There are legitimate excuses for going to see Pixels. Losing a bet, perhaps. Having a loved one held for ransom. Maybe a serious blow to the head. But none of those (except maybe the last) would allow you watch and actually enjoy the latest cinematic leavings of Adam Sandler.","8","2120120"
"5","Appears to have been written and directed by a grade-school dropout snorting airplane glue.","8","173716"
"6","While you may like comedies and you make like thrillers, this film does neither of the above with any pizazz.","8","184858"
"7","Can be blamed foremost on its fire-and-brimstone screenwriter, Pierce Gardner.","10","160484"
"8","Clash seems to be deliberately steering clear of camp, when in fact it should have steered straight into camp and stepped on the gas.","10","800320"
"9","Every character, every scene, is marred by the film's double view, which oscillates between sympathy and farce.","10","64115"
"10","Scrooged is an appallingly unfunny comedy, and a vivid illustration of the fact that money can't buy you laughs. Its stocking spilling with big names and production values galore, this updating of Dickens' A Christmas Carol into the world of cutthroat network television is, one episode apart, able to generate only a few mild chuckles.","10","96061"
"11","An embarrassingly unscary monster mash, is desperate to frighten its laughing audience any way it can.","10","369226"
"12","Offers no perverse philosophical conundrums and no eye-popping visuals. It's a dull, lifeless bore.","10","139809"
"13","What Horrible Bosses 2 lacks in nasty repartee, it tries to make up for in poorly staged comedy chases and break-ins. It is the Hollywood equivalent of a rambunctious little boy pointing to the toilet and squealing, “Mommy, look what I made!”","10","2170439"
"14","An entertainment-free sinkhole of Dramamine-worthy nonsense.","10","2870612"
"15","Turns out to be a muddled limp biscuit of a movie, a vampire soap opera that doesn't make much sense even on its own terms.","10","238546"
"16","Dream up a plot incorporating time travel, genetic mutation, cyberjargon, and saving the Earth -- all the worst and most boring elements of science fiction. Finally, type up a list of bad jokes, space-talk, and semi-tough tag lines; label it ""script.""","10","120738"
"17","Mr. Brooks manages to be deeply loathsome -- no small feat for a film that's shallowly amateurish.","10","780571"
"18","It's too mediocre (and PG-13) to be classified as a horror film, too inane to be taken seriously and too uninteresting to be bothered with.","10","432291"
"19","This Hollywood Pictures production (basically, a Walt Disney adult venture) culls every Capitol-corruption cliche in the book for the dullest 90 minutes Murphy has ever appeared in.","10","104114"
"20","As worthless a piece of garbage as we've seen this year.","10","163579"
"21","Take the Dan Brown out of a Dan Brown movie and all you’re left with is Tom Hanks jogging in mild irritation.","10","3062096"
"22","Littered with low points -- lame comedy, dubious history, fumbling drama and a love story so inept as to make a pacifist long for war.","10","213149"
"23","This woefully botched mystery-adventure-thriller-caper-romance-comedy, or whatever it was meant to be, is no fun at all.","10","1243957"
"24","Can't decide if it's a cautionary tale or a lifestyle catalog.","10","1407084"
"25","Suburbicon is not only unfunny, a bad sign for a black comedy, but deep-dyed dislikable.","10","491175"
"26","It's hard to pinpoint where things go wrong.","10","266452"
"27","Such a tedious Hollywood farce, so unpleasantly glib and relentlessly shallow, that Pacino's excessive performance is not even the worst thing about it.","10","258153"
"28","Holly Hunter and Sigourney Weaver, a cop and a shrink, are the main trackers, but so little is done in Ann Biderman and David Madsen's script to give them or their colleagues or even their prey interesting human dimensions that the overall ambience is chiefly pornographic.","10","112722"
"29","The movie is exhausting, utterly without feeling, and pointless -- though Smith looks great in his Western outfit.","10","120891"
"30","The point, I think, is the sheer callous inappropriateness of comedy existing within the physical reality of the camps -- even the imagined reality of a movie.","10","118799"
"31","Whatever the target demographic was in the pre-production phase, now it's limited to sexually active 14-year-olds still retaking the sixth grade.","10","455967"
"32","It's a dead end to a franchise that should have been put to rest two movies ago.","10","122151"
"33","Until that final, inevitable kiss, we have to listen to them, and the clatter of their crude, brainless exchanges is unbearable.","10","1142988"
"34","A shockingly mundane disappointment taken on its own and a deeply misguided refraction of the original.","10","844708"
"35","All I saw were unimpressive digital effects; artless, quick-cut abstracted gore; and a last-ditch attempt to evoke a visceral response by heaping the climactic scene with bat shit.","10","200469"
"36","It's especially doomed by a strained script that recalls certain bottom-of-the-barrel Bob Hope vehicles of the 50s in its attempts to be brittle and self-mocking in its humor.","10","98987"
"37","I spent a lot of time during the new Corey Haim-Corey Feldman movie, License to Drive, trying to figure out where it is set. Then it hit me. IT IS SET IN HELL! Hell, in this case, is a place where all the actors are named Corey. Where everyone is under the legal drinking age. Where everybody still breathes through his mouth and Oxy-5 flows like champagne.","10","95519"
"38","A new low for director Alan Parker, this trite mystery thriller does for capital punishment what his ""Mississippi Burning"" did for civil rights: with its muddled message, liberal piety, and slick Hollywood plot mechanics.","10","289992"
"39","Mildly grisly, assaultively noisy and tremendously boring.","10","120804"
"40","I’m getting fed up with classic films being remade or ruined by being turned into “Special Editions” that are less than special.","10","268695"
"41","The Great Outdoors is about as much fun as ants at a picnic for anyone over the age of 10. It's a crass, blah comedy about summer vacation perils that teams Dan Aykroyd and John Candy, but gives them next to nothing to work with. If the prolific and profit-making John Hughes weren't the writer--as well as the co-executive producer--of this scattershot nonsense directed frenetically by Howard Deutch, it's hard to imagine the film getting made, let alone attracting Aykroyd and Candy.","10","95253"
"42","Seven Years in Tibet feels more like Seven Days in the Movie Theater. It refuses to come alive--not even when Brad Pitt, hirsute as a yak, wanders the frozen Himalayas with an Austrian accent that probably gave his dialogue coach hives.","10","120102"
"43","Leaves you feeling as if you've been alternately milked and bitch-slapped. Its manipulation is so clumsy and obvious -- and, ultimately, it goes so far astray from its original guiding principles -- that it leaves you feeling dangled and dazed.","10","251160"
"44","That skunky smell emanating from Your Highness ain't pot; it's the stink of miscalculation that surrounds an inside joke gone awry.","10","1240982"
"45","Director Joe Johnston's elaborately dressed kids' movie--about a board game that sucks its players into a perilous jungle overrun by lions, rhinos, monkeys, crocodiles and spiders--spends so much time on the how of special effects that it neglects the why of characterization.","10","113497"
"46","Wild Things reaches such dizzying heights of wretched dialogue, creaky contrivances, and panting performances, you're forced to wonder if the filmmakers realized how bad their script was and switched gears into pure camp at some point during the shoot.","10","120890"
"47","Valentine simply mines the same tired, predictable slasher-movie vein as everything else he's (Blanks) done thus far. Send this one back unopened.","10","242998"
"48","Jason goes to hell, and not a moment too soon. His descent has been far too long in coming, as the exhausted, witless Jason Goes to Hell: The Final Friday demonstrates.","10","107254"
"49","And so begins the impale imitation of John Carpenter's once-scary bogyman tale, in which every shadow and reflection is premeditated and all the herrings are red.","10","113253"
"50","The Wayans brothers' new bottom-feeder signals its utter exhaustion -- and barely veiled contempt for the audience.","10","257106"
"51","Let's talk about it quickly, because the thumbs of both my hands have gone similarly crazy. They're pointing downward and refuse to budge until I finish this review.","10","138510"
"52","I don't know if Rob Reiner is the one to blame for this atrocity, but he directed and coproduced.","10","825232"
"53","Sitting through the picture is an endurance test.","10","881891"
"54","This tedious retelling of the venerable fairy tale-""Twilight"" with Oedipal kinks-takes place in a medieval village that is plagued by a werewolf, and that looks like a shtetl settled by California actors.","10","1486185"
"55","Pitched as a black comedy, the film thus far seems to have divided audiences between those who think it unaccountably hilarious and those who see it as the latest manifestation of what might be called the new nihilism.","10","124198"
"56","Let's call this ""rethinking"" The Abysmal.","10","95250"
"57","My mind wasn't simply wandering during the film - it was ricocheting between the screen and the exit sign.","10","84809"
"58","Its creepy use of DMX's daughter is reprehensible, but the film is otherwise so unrelentingly sleazy that its use of the child-in-danger gambit actually qualifies as one of its subtler moves.","10","306685"
"59","The movie veers uneasily from not-funny comedy to not-persuasive melodrama. Murphy forgets that the dialogue in old-fashioned crime pictures was as highly stylized as the settings. In place of sharply polished wisecracks, he gives us the steady mutter of the witless, unfelt obscenities that are the argot of our modern mean streets. [27 Nov 1989, p.88]","10","97481"
"60","Billed as a comedy, but it could also be billed as a drama, a satire, an allegory, or a film (partially) noir. It wouldn't matter, or help... Not since Robert Altman has any American filmmaker been as overrated as this pair. [30 Sept 1991]","10","101410"
"61","Isn't juvenile, it isn't even infantile. It's prenatal!","10","120903"
"62","Like a dinner-theater version of the ""Alien"" movies without the good grooming.","10","211443"
"63","There's more suspense in On Golden Pond. And when the predictable ending comes, it has none of the titanic man-versus-beast struggle of the original. It all happens so quickly, you wonder if you've missed something. But, no you haven't, because there it is -- the familiar calm sea . . . of credits.","10","93300"
"64","Put simply, in my humble opinion, Oldboy sucks.","10","364569"
"65","Sum total of scenes that deserved to stay in the final cut: Thandie Newton doing a little shimmying frug.","10","1032755"
"66","As intriguing as the premise sounds, Mission to Mars hasn't a single moment of real suspense.","10","183523"
"67","The only good thing you can say about ""Rocky V"" is that at least Stallone has the sense to throw in the towel.","10","100507"
