movie,Academy Awards adapted screenplay,Academy Awards original screenplay,BAFTA nominations,Golden Globe Award for Best Screenplay,Writers Guild Awards Winners & Nominees 2020-2013
A Tree Grows in Brooklyn_0038190,+,-,-,-,-
Winter s Bone_1399683,+,-,-,-,-
The Hustler_0054997,+,-,-,-,-
Leaving Las Vegas_0113627,+,-,+,-,-
Before Midnight_2209418,+,-,-,-,+
Hidden Figures_4846340,+,-,+,-,+
Rosemary s Baby_0063522,+,-,-,+,-
12 Angry Men_0118528,+,-,-,-,-
Goodfellas_0099685,+,-,+,+,-
A Star Is Born_0075265,+,-,+,-,+
A Clockwork Orange_0066921,+,-,+,-,-
A Simple Plan_0120324,+,-,-,-,-
Atonement_0783233,+,-,+,+,-
Arrival_2543164,+,-,-,-,+
Cabaret_0068327,+,-,+,+,-
Call Me by Your Name_5726616,+,-,+,-,+
Chocolat_0241303,+,-,+,-,-
Carol_2402927,+,-,+,-,+
Coal Miner s Daughter_0080549,+,-,-,-,-
Fences_2671706,+,-,-,-,+
Fried Green Tomatoes_0101921,+,-,-,-,-
Gone with the Wind_0031381,+,-,-,-,-
High Noon_0044706,+,-,-,+,-
If Beale Street Could Talk_7125860,+,-,+,+,+
Julia_0076245,+,-,+,+,-
Inherent Vice_1791528,+,-,-,-,-
Lenny_0071746,+,-,-,-,-
Lion_3741834,+,-,+,-,-
Captain Phillips_1535109,+,-,+,-,+
MASH_0066026,+,-,-,+,-
Moneyball_3024352,+,-,+,+,-
Missing_0084335,+,-,+,+,-
Moonlight_4975722,+,-,+,+,+
On Golden Pond_0082846,+,-,+,+,-
Same Time Next Year_6797728,+,-,-,-,-
Terms of Endearment_0086425,+,-,-,+,-
The African Queen_0043265,+,-,-,-,-
The Ballad of Buster Scruggs_6412452,+,-,-,-,-
The Big Short_1596363,+,-,+,+,+
The Disaster Artist_3521126,+,-,-,-,+
The Grapes of Wrath_0032551,+,-,-,-,-
The Maltese Falcon_0033870,+,-,-,-,-
The Reader_0976051,+,-,+,+,-
The Thin Red Line_0120863,+,-,-,-,-
The Thin Man_0025878,+,-,-,-,-
To Kill a Mockingbird_0056592,+,-,-,-,-
Toy Story 3_0435761,+,-,+,-,-
There Will Be Blood_0469494,+,-,+,-,-
Whiplash_2582802,+,-,+,-,+
Young Frankenstein_0072431,+,-,-,-,-
Great Expectations_0119223,+,-,-,-,-
Mystic River_0327056,+,-,+,+,-
A Beautiful Mind_0268978,+,-,+,+,-
A History of Violence_0399146,+,-,+,-,-
Driving Miss Daisy_0097239,+,-,+,-,-
Fatal Attraction_0093010,+,-,-,-,-
Molly s Game_4209788,+,-,+,+,+
Mudbound_2396589,+,-,-,-,+
Norma Rae_0079638,+,-,-,+,-
Skyscraper_5758778,+,-,-,-,-
The Accidental Tourist_0094606,+,-,+,-,-
The Imitation Game_2084970,+,-,+,+,+
The Hours_0274558,+,-,+,+,-
The Last Picture Show_0067328,+,-,+,-,-
The Player_0105151,+,-,+,+,-
Breakfast at Tiffany s_0054698,+,-,-,-,-
The Exorcist_0070047,+,-,-,+,-
The Lion in Winter_0063227,+,-,+,+,-
Rear Window_0047396,+,-,-,-,-
The Reader_9885352,+,-,+,+,-
Room_3170832,+,-,+,+,-
Schindler s List_0108052,+,-,+,+,-
Sense and Sensibility_0114388,+,-,+,+,-
Silver Linings Playbook_1045658,+,-,+,+,+
The Silence of the Lambs_0102926,+,-,+,+,-
Shrek_0126029,+,-,+,-,-
The Shawshank Redemption_0111161,+,-,-,+,-
Sling Blade_0117666,+,-,-,-,-
The Social Network_1285016,+,-,+,+,-
The Stunt Man_0081568,+,-,-,+,-
The Talented Mr Ripley_0134119,+,-,+,-,-
The Sweet Hereafter_0120255,+,-,-,-,-
The Theory of Everything_2980516,+,-,+,-,-
Tinker Tailor Soldier Spy_1340800,+,-,+,-,-
Traffic_0181865,+,-,+,+,-
Trainspotting_0117951,+,-,+,-,-
Up in the Air_1193138,+,-,+,+,-
The Verdict_0084855,+,-,-,+,-
Wonder Boys_0185014,+,-,+,+,-
The Wolf of Wall Street_0993846,+,-,+,-,+
Born on the Fourth of July_0096969,+,-,+,+,-
Dr Jekyll and Mr Hyde_0022835,+,-,-,-,-
Scent of a Woman_0105323,+,-,+,+,-
Sabrina_0047437,+,-,-,+,-
The Miracle Worker_0056241,+,-,-,-,-
The Irishman_1302006,+,-,+,+,+
Full Metal Jacket_0093058,+,-,-,-,-
Notes on a Scandal_0465551,+,-,+,+,-
Little Women_3281548,+,-,+,-,+
The Two Popes_8404614,+,-,+,+,-
Anatomy of a Murder_0052561,+,-,-,-,-
Alfie_0375173,+,-,+,+,-
Away from Her_0491747,+,-,-,-,-
Before Sunset_0381681,+,-,-,-,-
Casablanca_0034583,+,-,-,-,-
Cool Hand Luke_0061512,+,-,-,-,-
Children of Men_0206634,+,-,-,-,-
The Diving Bell and the Butterfly_0401383,+,-,+,-,-
Doctor Zhivago_0059113,+,-,-,+,-
The English Patient_0116209,+,-,+,+,-
Giant_0049261,+,-,-,-,-
In the Heat of the Night_0061811,+,-,-,+,-
The Jazz Singer_0018037,+,-,-,-,-
Kiss of the Spider Woman_0089424,+,-,-,-,-
Lawrence of Arabia_0056172,+,-,+,-,-
Little Children_0404203,+,-,-,+,-
The Lost Weekend_0037884,+,-,-,-,-
Munich_0408306,+,-,-,+,-
Mr Smith Goes to Washington_0031679,+,-,-,-,-
Million Dollar Baby_0405159,+,-,-,-,-
O Brother Where Art Thou_1156696,+,-,+,-,-
Women in Love_0066579,+,-,+,-,-
Out of Africa_0089755,+,-,+,+,-
Paper Moon_0070510,+,-,-,-,-
Philomena_2431286,+,-,+,+,-
Pygmalion_0030637,+,-,-,-,-
Some Like It Hot_0053291,+,-,-,-,-
Sounder_0069303,+,-,-,-,-
The Thin Red Line_0058648,+,-,-,-,-
The Thin Man_0820597,+,-,-,-,-
The Treasure of the Sierra Madre_0040897,+,-,-,-,-
The Godfather Part II_0071562,+,-,-,+,-
Father of the Bride_0101862,+,-,-,-,-
The Godfather_0068646,+,-,-,+,-
Kramer vs Kramer_0079417,+,-,+,+,-
The Constant Gardener_0387131,+,-,+,-,-
Can You Ever Forgive Me_4595882,+,-,+,-,+
Jojo Rabbit_2584384,+,-,+,-,+
Rebecca_0032976,+,-,-,-,-
127 Hours_1542344,+,-,+,+,-
12 Years a Slave_2024544,+,-,+,+,-
Adaptation_2980718,+,-,+,+,-
District 9_1136608,+,-,+,+,-
All About Eve_0042192,+,-,-,+,-
All the King s Men_0041113,+,-,-,-,-
All the President s Men_0074119,+,-,+,+,-
Amadeus_0086879,+,-,+,+,-
American Splendor_0305206,+,-,-,-,-
An Education_1174732,+,-,+,-,-
Apocalypse Now_0078788,+,-,-,-,-
Argo_1024648,+,-,+,+,+
Awakenings_0099077,+,-,-,-,-
Bad Day at Black Rock_0047849,+,-,-,-,-
Barry Lyndon_0072684,+,-,-,-,-
Beasts of the Southern Wild_2125435,+,-,+,-,-
BlacKkKlansman_7349662,+,-,+,-,+
The Lord of the Rings The Fellowship of the Ring_0120737,+,-,+,-,-
Broken Arrow_0115759,+,-,-,-,-
The Cider House Rules_0124315,+,-,-,+,-
The Curious Case of Benjamin Button_0421715,+,-,+,+,-
Dances with Wolves_0099348,+,-,+,+,-
The Descendants_1033575,+,-,+,+,-
The Departed_0407887,+,-,+,+,-
Double Indemnity_0036775,+,-,-,-,-
Donnie Brasco_0119008,+,-,-,-,-
The Elephant Man_0080678,+,-,+,+,-
Field of Dreams_0097351,+,-,-,-,-
Forrest Gump_0109830,+,-,+,+,-
The French Connection_0067116,+,-,-,+,-
From Here to Eternity_0045793,+,-,-,-,-
Ghost World_0162346,+,-,-,-,-
The Graduate_0061722,+,-,+,+,-
Gods and Monsters_0120684,+,-,-,-,-
The Grifters_0099703,+,-,-,-,-
The Green Mile_0120689,+,-,-,-,-
The Ides of March_1124035,+,-,+,+,-
In the Bedroom_0247425,+,-,-,-,-
The Insider_0140352,+,-,-,+,-
In the Loop_1226774,+,-,+,-,-
It Happened One Night_0025316,+,-,-,-,-
JFK_0102138,+,-,+,+,-
Joker_7286456,+,-,+,-,+
Life of Pi_0454876,+,-,+,-,+
Lincoln_0443272,+,-,+,+,+
Logan_3315342,+,-,-,-,+
The Lord of the Rings The Return of the King_0167260,+,-,+,-,-
The Martian_3659388,+,-,-,-,+
Marty_0048356,+,-,-,-,-
Moneyball_1210166,+,-,+,+,-
Midnight Express_0077928,+,-,-,+,-
Midnight Cowboy_0064665,+,-,+,+,-
Mr Deeds Goes to Town_0027996,+,-,-,-,-
Ninotchka_0031725,+,-,-,-,-
No Country for Old Men_0477348,+,-,+,+,-
One Flew Over the Cuckoo s Nest_0073486,+,-,+,+,-
The Patriot_0187393,+,-,-,-,-
Ordinary People_0081283,+,-,-,+,-
Out of Sight_0120780,+,-,-,-,-
The Pianist_0253474,+,-,+,-,-
Precious_0929632,+,-,-,-,-
When Harry Met Sally_0098635,-,+,+,+,-
1917_8579674,-,+,-,-,+
20th Century Women_4385888,-,+,-,-,-
Back to the Future_0088763,-,+,+,+,-
All That Jazz_0078754,-,+,-,-,-
